params,losses,mean_loss
"{'batch_size': 12800, 'dropout1': 0.206, 'dropout2': 0.301, 'dropout3': 0.471, 'dropout4': 0.103, 'dropout5': 0.386, 'dropout6': 0.412, 'dropout7': 0.233, 'dropout8': 0.354, 'hidden_size1': 64, 'hidden_size2': 32, 'hidden_size3': 32, 'hidden_size4': 48, 'hidden_size5': 128, 'hidden_size6': 128, 'hidden_size7': 1024, 'hidden_size8': 128, 'learning_rate': 0.004, 'n_layers': 6, 'num_epochs': 10}","[0.7846946742757663, 0.7804756377862772, 0.7882302439415417]",0.784466852001195
"{'batch_size': 128, 'dropout1': 0.383, 'dropout2': 0.294, 'dropout3': 0.192, 'dropout4': 0.337, 'dropout5': 0.028, 'dropout6': 0.121, 'dropout7': 0.043, 'dropout8': 0.313, 'hidden_size1': 128, 'hidden_size2': 896, 'hidden_size3': 896, 'hidden_size4': 896, 'hidden_size5': 32, 'hidden_size6': 1024, 'hidden_size7': 96, 'hidden_size8': 128, 'learning_rate': 0.009000000000000001, 'n_layers': 3, 'num_epochs': 30}","[0.7828991704232567, 0.7812649143984036, 0.7865136921628155]",0.7835592589948254
"{'batch_size': 2048, 'dropout1': 0.201, 'dropout2': 0.273, 'dropout3': 0.262, 'dropout4': 0.359, 'dropout5': 0.268, 'dropout6': 0.189, 'dropout7': 0.015, 'dropout8': 0.286, 'hidden_size1': 32, 'hidden_size2': 1024, 'hidden_size3': 48, 'hidden_size4': 64, 'hidden_size5': 448, 'hidden_size6': 32, 'hidden_size7': 448, 'hidden_size8': 1024, 'learning_rate': 0.04, 'n_layers': 6, 'num_epochs': 25}","[0.7855619981934359, 0.7826481484510777, 0.7871708524817]",0.7851269997087379
"{'batch_size': 256, 'dropout1': 0.154, 'dropout2': 0.201, 'dropout3': 0.157, 'dropout4': 0.05, 'dropout5': 0.483, 'dropout6': 0.127, 'dropout7': 0.046, 'dropout8': 0.195, 'hidden_size1': 512, 'hidden_size2': 1024, 'hidden_size3': 256, 'hidden_size4': 448, 'hidden_size5': 896, 'hidden_size6': 1024, 'hidden_size7': 96, 'hidden_size8': 512, 'learning_rate': 0.0006000000000000001, 'n_layers': 3, 'num_epochs': 25}","[0.7680988638676357, 0.7635664075790365, 0.7736774996417841]",0.7684475903628187
"{'batch_size': 2560, 'dropout1': 0.125, 'dropout2': 0.396, 'dropout3': 0.306, 'dropout4': 0.487, 'dropout5': 0.071, 'dropout6': 0.154, 'dropout7': 0.028, 'dropout8': 0.273, 'hidden_size1': 96, 'hidden_size2': 448, 'hidden_size3': 1024, 'hidden_size4': 48, 'hidden_size5': 256, 'hidden_size6': 1024, 'hidden_size7': 96, 'hidden_size8': 128, 'learning_rate': 0.0001, 'n_layers': 5, 'num_epochs': 30}","[0.7876919852791828, 0.78660726926682, 0.7910553491390608]",0.7884515345616879
"{'batch_size': 256, 'dropout1': 0.306, 'dropout2': 0.023, 'dropout3': 0.35, 'dropout4': 0.464, 'dropout5': 0.005, 'dropout6': 0.13, 'dropout7': 0.059, 'dropout8': 0.162, 'hidden_size1': 128, 'hidden_size2': 96, 'hidden_size3': 1024, 'hidden_size4': 896, 'hidden_size5': 1024, 'hidden_size6': 48, 'hidden_size7': 128, 'hidden_size8': 256, 'learning_rate': 0.003, 'n_layers': 8, 'num_epochs': 30}","[0.7834697278560446, 0.7803691893384612, 0.787859122108663]",0.7838993464343895
"{'batch_size': 10240, 'dropout1': 0.345, 'dropout2': 0.098, 'dropout3': 0.367, 'dropout4': 0.233, 'dropout5': 0.09, 'dropout6': 0.233, 'dropout7': 0.328, 'dropout8': 0.411, 'hidden_size1': 1024, 'hidden_size2': 64, 'hidden_size3': 1024, 'hidden_size4': 512, 'hidden_size5': 48, 'hidden_size6': 128, 'hidden_size7': 128, 'hidden_size8': 32, 'learning_rate': 0.001, 'n_layers': 8, 'num_epochs': 35}","[0.786532120391396, 0.7817279742247877, 0.7868379265809943]",0.7850326737323927
"{'batch_size': 2560, 'dropout1': 0.116, 'dropout2': 0.302, 'dropout3': 0.445, 'dropout4': 0.317, 'dropout5': 0.32, 'dropout6': 0.194, 'dropout7': 0.003, 'dropout8': 0.164, 'hidden_size1': 96, 'hidden_size2': 96, 'hidden_size3': 512, 'hidden_size4': 48, 'hidden_size5': 256, 'hidden_size6': 48, 'hidden_size7': 1024, 'hidden_size8': 64, 'learning_rate': 7.000000000000001e-05, 'n_layers': 2, 'num_epochs': 25}","[0.7856370573611374, 0.7841690456975722, 0.7900915879022825]",0.7866325636536641
"{'batch_size': 256, 'dropout1': 0.108, 'dropout2': 0.383, 'dropout3': 0.241, 'dropout4': 0.055, 'dropout5': 0.445, 'dropout6': 0.053, 'dropout7': 0.235, 'dropout8': 0.151, 'hidden_size1': 896, 'hidden_size2': 32, 'hidden_size3': 256, 'hidden_size4': 64, 'hidden_size5': 512, 'hidden_size6': 48, 'hidden_size7': 64, 'hidden_size8': 1024, 'learning_rate': 0.009000000000000001, 'n_layers': 6, 'num_epochs': 20}","[0.7581575720453863, 0.7516668560177295, 0.7547553162735388]",0.7548599147788848
"{'batch_size': 128, 'dropout1': 0.147, 'dropout2': 0.366, 'dropout3': 0.467, 'dropout4': 0.016, 'dropout5': 0.248, 'dropout6': 0.243, 'dropout7': 0.227, 'dropout8': 0.306, 'hidden_size1': 64, 'hidden_size2': 64, 'hidden_size3': 64, 'hidden_size4': 32, 'hidden_size5': 512, 'hidden_size6': 256, 'hidden_size7': 512, 'hidden_size8': 128, 'learning_rate': 0.0009000000000000001, 'n_layers': 6, 'num_epochs': 40}","[0.7791493529484003, 0.7778340332860291, 0.7836456822884621]",0.7802096895076304
"{'batch_size': 2560, 'dropout1': 0.396, 'dropout2': 0.05, 'dropout3': 0.256, 'dropout4': 0.185, 'dropout5': 0.314, 'dropout6': 0.128, 'dropout7': 0.345, 'dropout8': 0.429, 'hidden_size1': 48, 'hidden_size2': 448, 'hidden_size3': 96, 'hidden_size4': 1024, 'hidden_size5': 256, 'hidden_size6': 896, 'hidden_size7': 48, 'hidden_size8': 896, 'learning_rate': 0.0001, 'n_layers': 5, 'num_epochs': 50}","[0.7818950155595872, 0.7793351118387848, 0.7830789196688042]",0.781436349022392
"{'batch_size': 5120, 'dropout1': 0.125, 'dropout2': 0.467, 'dropout3': 0.213, 'dropout4': 0.428, 'dropout5': 0.221, 'dropout6': 0.336, 'dropout7': 0.451, 'dropout8': 0.265, 'hidden_size1': 96, 'hidden_size2': 256, 'hidden_size3': 448, 'hidden_size4': 96, 'hidden_size5': 64, 'hidden_size6': 512, 'hidden_size7': 32, 'hidden_size8': 96, 'learning_rate': 2e-05, 'n_layers': 7, 'num_epochs': 5}","[0.7543325690233862, 0.7545112789515749, 0.7601324121865871]",0.7563254200538494
"{'batch_size': 512, 'dropout1': 0.407, 'dropout2': 0.423, 'dropout3': 0.052, 'dropout4': 0.075, 'dropout5': 0.345, 'dropout6': 0.219, 'dropout7': 0.111, 'dropout8': 0.273, 'hidden_size1': 448, 'hidden_size2': 448, 'hidden_size3': 128, 'hidden_size4': 128, 'hidden_size5': 96, 'hidden_size6': 64, 'hidden_size7': 896, 'hidden_size8': 448, 'learning_rate': 0.0004, 'n_layers': 5, 'num_epochs': 15}","[0.7852855732950588, 0.7832571113260411, 0.7892874726403176]",0.7859433857538058
"{'batch_size': 4096, 'dropout1': 0.237, 'dropout2': 0.39, 'dropout3': 0.042, 'dropout4': 0.338, 'dropout5': 0.232, 'dropout6': 0.322, 'dropout7': 0.37, 'dropout8': 0.068, 'hidden_size1': 256, 'hidden_size2': 48, 'hidden_size3': 1024, 'hidden_size4': 256, 'hidden_size5': 256, 'hidden_size6': 96, 'hidden_size7': 256, 'hidden_size8': 48, 'learning_rate': 0.0001, 'n_layers': 4, 'num_epochs': 45}","[0.7872027889615716, 0.784888967651475, 0.7898073506987162]",0.7872997024372542
"{'batch_size': 1024, 'dropout1': 0.03, 'dropout2': 0.265, 'dropout3': 0.306, 'dropout4': 0.253, 'dropout5': 0.429, 'dropout6': 0.356, 'dropout7': 0.29, 'dropout8': 0.282, 'hidden_size1': 96, 'hidden_size2': 128, 'hidden_size3': 1024, 'hidden_size4': 48, 'hidden_size5': 256, 'hidden_size6': 448, 'hidden_size7': 96, 'hidden_size8': 128, 'learning_rate': 0.0007000000000000001, 'n_layers': 5, 'num_epochs': 30}","[0.759944516177949, 0.759942409852798, 0.7679648123207639]",0.7626172461171703
"{'batch_size': 2560, 'dropout1': 0.157, 'dropout2': 0.396, 'dropout3': 0.08, 'dropout4': 0.003, 'dropout5': 0.33, 'dropout6': 0.436, 'dropout7': 0.347, 'dropout8': 0.169, 'hidden_size1': 256, 'hidden_size2': 512, 'hidden_size3': 32, 'hidden_size4': 128, 'hidden_size5': 896, 'hidden_size6': 1024, 'hidden_size7': 32, 'hidden_size8': 32, 'learning_rate': 0.005, 'n_layers': 5, 'num_epochs': 30}","[0.7784418391052372, 0.7740150320888766, 0.7785607249488389]",0.7770058653809843
"{'batch_size': 512, 'dropout1': 0.397, 'dropout2': 0.422, 'dropout3': 0.377, 'dropout4': 0.202, 'dropout5': 0.123, 'dropout6': 0.306, 'dropout7': 0.093, 'dropout8': 0.482, 'hidden_size1': 1024, 'hidden_size2': 448, 'hidden_size3': 64, 'hidden_size4': 256, 'hidden_size5': 448, 'hidden_size6': 896, 'hidden_size7': 448, 'hidden_size8': 256, 'learning_rate': 0.03, 'n_layers': 7, 'num_epochs': 45}","[0.778924533247005, 0.01865049352168629, 0.01679705734791693]",0.2714573613722027
"{'batch_size': 4096, 'dropout1': 0.045, 'dropout2': 0.461, 'dropout3': 0.184, 'dropout4': 0.052, 'dropout5': 0.217, 'dropout6': 0.261, 'dropout7': 0.457, 'dropout8': 0.078, 'hidden_size1': 256, 'hidden_size2': 48, 'hidden_size3': 1024, 'hidden_size4': 256, 'hidden_size5': 256, 'hidden_size6': 96, 'hidden_size7': 256, 'hidden_size8': 48, 'learning_rate': 0.0001, 'n_layers': 4, 'num_epochs': 45}","[0.7718938694162913, 0.7716625934723176, 0.7735279250481305]",0.7723614626455798
"{'batch_size': 4096, 'dropout1': 0.05, 'dropout2': 0.486, 'dropout3': 0.145, 'dropout4': 0.479, 'dropout5': 0.071, 'dropout6': 0.154, 'dropout7': 0.489, 'dropout8': 0.165, 'hidden_size1': 256, 'hidden_size2': 48, 'hidden_size3': 1024, 'hidden_size4': 256, 'hidden_size5': 256, 'hidden_size6': 96, 'hidden_size7': 256, 'hidden_size8': 48, 'learning_rate': 6e-05, 'n_layers': 4, 'num_epochs': 45}","[0.7865305444952413, 0.7830200792680315, 0.7865505381285507]",0.7853670539639411
"{'batch_size': 4096, 'dropout1': 0.424, 'dropout2': 0.146, 'dropout3': 0.472, 'dropout4': 0.366, 'dropout5': 0.479, 'dropout6': 0.494, 'dropout7': 0.166, 'dropout8': 0.089, 'hidden_size1': 96, 'hidden_size2': 48, 'hidden_size3': 1024, 'hidden_size4': 48, 'hidden_size5': 256, 'hidden_size6': 96, 'hidden_size7': 256, 'hidden_size8': 48, 'learning_rate': 0.00030000000000000003, 'n_layers': 4, 'num_epochs': 45}","[0.7851094276544364, 0.782690697392648, 0.7888510790872869]",0.7855504013781237
"{'batch_size': 10240, 'dropout1': 0.143, 'dropout2': 0.381, 'dropout3': 0.354, 'dropout4': 0.267, 'dropout5': 0.166, 'dropout6': 0.418, 'dropout7': 0.295, 'dropout8': 0.35, 'hidden_size1': 256, 'hidden_size2': 256, 'hidden_size3': 48, 'hidden_size4': 512, 'hidden_size5': 128, 'hidden_size6': 1024, 'hidden_size7': 512, 'hidden_size8': 96, 'learning_rate': 0.01, 'n_layers': 4, 'num_epochs': 10}","[0.7867233883149376, 0.7843734227563308, 0.7860516789926576]",0.785716163354642
"{'batch_size': 4096, 'dropout1': 0.161, 'dropout2': 0.379, 'dropout3': 0.059, 'dropout4': 0.44, 'dropout5': 0.046, 'dropout6': 0.003, 'dropout7': 0.31, 'dropout8': 0.068, 'hidden_size1': 512, 'hidden_size2': 48, 'hidden_size3': 128, 'hidden_size4': 256, 'hidden_size5': 48, 'hidden_size6': 512, 'hidden_size7': 96, 'hidden_size8': 512, 'learning_rate': 1e-05, 'n_layers': 2, 'num_epochs': 35}","[0.7789833720516561, 0.7756368152468769, 0.7830078491229793]",0.7792093454738375
"{'batch_size': 5120, 'dropout1': 0.495, 'dropout2': 0.384, 'dropout3': 0.152, 'dropout4': 0.156, 'dropout5': 0.013, 'dropout6': 0.281, 'dropout7': 0.346, 'dropout8': 0.229, 'hidden_size1': 32, 'hidden_size2': 448, 'hidden_size3': 512, 'hidden_size4': 96, 'hidden_size5': 32, 'hidden_size6': 32, 'hidden_size7': 256, 'hidden_size8': 48, 'learning_rate': 4e-05, 'n_layers': 4, 'num_epochs': 40}","[0.7732355055292788, 0.7717125051776501, 0.7787560943755754]",0.7745680350275014
"{'batch_size': 2560, 'dropout1': 0.04, 'dropout2': 0.311, 'dropout3': 0.161, 'dropout4': 0.328, 'dropout5': 0.493, 'dropout6': 0.374, 'dropout7': 0.174, 'dropout8': 0.422, 'hidden_size1': 896, 'hidden_size2': 512, 'hidden_size3': 896, 'hidden_size4': 448, 'hidden_size5': 96, 'hidden_size6': 96, 'hidden_size7': 48, 'hidden_size8': 448, 'learning_rate': 0.006, 'n_layers': 5, 'num_epochs': 5}","[0.7853603357112937, 0.7852656341172539, 0.7872884725198886]",0.7859714807828121
"{'batch_size': 12800, 'dropout1': 0.31, 'dropout2': 0.158, 'dropout3': 0.124, 'dropout4': 0.362, 'dropout5': 0.063, 'dropout6': 0.269, 'dropout7': 0.004, 'dropout8': 0.359, 'hidden_size1': 448, 'hidden_size2': 448, 'hidden_size3': 96, 'hidden_size4': 32, 'hidden_size5': 1024, 'hidden_size6': 256, 'hidden_size7': 896, 'hidden_size8': 896, 'learning_rate': 0.02, 'n_layers': 4, 'num_epochs': 15}","[0.786584467748513, 0.7850823480366933, 0.7893599496974004]",0.7870089218275357
